sentiment,review_body,product_category
-1,Loved the open shoulders  but not how large and flowy the rest of it was. i could have worn it 9 months preggo ;),Blouses
-1,I was drawn to this top because of the interesting and detailed straps  which are embroidered with a lovely triangle pattern. however the embroidery takes away any stretchy-ness or give in the cotton and makes the top a beautiful but ill-fitting harness for anyone with any breasts or full-figured lusciousness. the worst part is that the top hem along the top is embroidered and rigid just like the straps  so it feels like you are wearing an uncomfortable strapless top. i wanted to keep this but h,Blouses
-1,I just can't get past how different the blouse i got is from the photo. mine has dark colors  really dark colors.  this top fits a bit large and the neck is quite wide. i thought it flowed well and fit nicely in my regular size large. i liked the length and the fact that it's shorter than shown. it still covered my bum.  the back has a cute peplum ruffle and there are little bronze colored beads along the bottom edge in both the front and back. i would have kept it had been the blouse shown in t,Blouses
-1,I recently purchased this blouse on their 40% off sale in white. i was hoping for a crisp white structured blouse. i did read all the reviews and thought i would give it a try anyway. it is awful. there is no structure or shape but the quality is the reason i am returning. it feels like a napkin or thinner. not even worth the extra sale price. i will be returning.,Blouses
-1,I can not imagine the cut in the waist being flattering on anyone. i ordered an xs and an xxs still would have flared too much in the waste. i ignored the previous review and that was a huge mistake!,Blouses
-1,This top is tight across the bust (i am a 32dd cup) and more trapeze-shaped than the picture shows. if you are smaller busted  it may not flare out as much. also- the sz 10 is what was tight - and i usually wear a sz. 4 or 6  or small-size top/blouse. in the end  this wasn't very flattering as it looked more like a maternity top.,Blouses
-1,Cute top but started disintegrating after two washes. the delicate cutouts in the top tore apart. i machine washed it in the gentle cycle and didn't use the dryer. disappointed to have to discard the top after just buying it.,Blouses
-1,Looks like a pregnancy top. a lot gathers in front and back. added 10 pounds to me. not flattering on  much longer than on the model. and the color is not white. it's white with a weird tan/ taupe stripe.  i returned it same day i received it  which was disappointing.,Blouses
-1,I splurged on this top and was sadly disappointed. i'm a 36d  and the l was so tight i couldn't get it over my chest. also the arms were super tight and the length is nearly cropped.  and the fabric is shiny  the picture makes it look like it's matte. if it did fit like the model i would've loved it. the print is beautiful though. bummer,Blouses
0,Do not under estimate the boxy shape of this it looks kind of like a hospital scrub. i think with this top the styling is key. the sleeves are long and boxy and the neckline is somewhat of an oval so for me this wasn't a top i could just throw on without doing some outfit editing.i styled this with a dark high waisted skinny jean which i tucked the shirt into and some red heels and i was ready to go. anyways the material was great it was a silk type polyester that didn't seem to be static prone,Blouses
